Journal,OA (%),Specialism (% Category Papers),Average Category Papers / Year,Average Citation Categories,Average News Mentions,Average Twitter Mentions
CA A Cancer Journal for Clinicians,"93,62 %","14,67 %","5,65","3 695,43","138,24","214,62"
Nature,"46,72 %","0,98 %","37,33","184,04","33,55","335,56"
New England Journal of Medicine,"40,76 %","1,77 %","24,49","248,73","35,68","211,32"
The Lancet,"57,07 %","0,6 %","9,25","261,98","32,22","171,05"
Nature Medicine,"61,57 %","5,42 %","27,29","160,22","27,91","185,06"
MMWR Morbidity and Mortality Weekly Report,"98,61 %","8,3 %","27,57","87,3","93,39","354,44"
Science,"30,03 %","0,58 %","19,53","78,17","25,49","193,97"
JAMA,"27,33 %","0,71 %","11,88","68,48","33,76","128,21"
Cell,88 %,"4,05 %","20,9","154,36","13,47","156,8"
The Lancet Oncology,"30,14 %","3,3 %","16,6","168,28","11,08","81,06"
British Journal of Sports Medicine,"58,76 %","0,6 %","1,86","27,8","58,63","865,3"
JAMA Internal Medicine,"42,51 %","1,1 %","5,48","72,54","17,7","105,84"
Nature Reviews Disease Primers,"46,63 %","18,16 %","15,16","191,06","6,21","184,87"
JAMA Oncology,"46,01 %","5,65 %","24,28","82,94","11,16","115,8"
The BMJ,"39,4 %","0,48 %","14,54","44,82","13,11","159,33"
PLOS Medicine,100 %,"4,96 %","12,16","46,89","29,75","48,72"
Science Advances,100 %,"1,84 %","31,85","55,83","14,68","60,85"
Cell Metabolism,"87,11 %","4,66 %","9,52","68,88","8,35","135,23"
The Lancet Respiratory Medicine,"58,02 %","6,88 %","20,21","117,72","7,07","86,87"
The Lancet Public Health,100 %,"1,97 %","2,97","50,31","21,01","166,59"
Nature Biotechnology,"50,92 %","2,34 %","8,97","68,93","17,59","197,55"
Annals of Internal Medicine,"15,19 %","1,08 %","7,79","35,42","16,32","90,68"
Nature Genetics,"69,47 %","7,13 %","18,37","87,81","14,57","98,19"
Proceedings of the National Academy of Sciences of the United States of America,"95,87 %","1,69 %","63,22","42,33","8,14","34,96"
