Journal,OA (%),Specialism (% Category Papers),Average Category Papers / Year,Average Citation Categories,Average News Mentions,Average Twitter Mentions
Osong Public Health and Research Perspectives,1,0.08108108108108109,3.857142857142857,51.473529411764716,4.588235294117647,2259.6558823529413
British Journal of Sports Medicine,0.5876392681152421,0.005982512655315232,1.8571428571428574,27.8,58.63333333333333,865.3
Journal of Sex & Marital Therapy,0.1828306590766027,0.030501089324618733,2,16.46666666666667,6.766666666666667,662.1666666666666
Current Sexual Health Reports,0.25727926036577975,0.11607142857142859,3.714285714285715,5.4937499999999995,3.78125,547.703125
MMWR Morbidity and Mortality Weekly Report,0.9861069682005773,0.08304555128920556,27.571428571428566,87.29579409465055,93.38938123423229,354.43813125760494
Nature,0.4672368396185688,0.009757351100361127,37.33469387755103,184.04154153860426,33.55408037167871,335.5627403424268
The American Journal of Medicine,0.45290100139026185,0.020322472287537786,8.642857142857144,20.587521645021642,2.39379015721121,246.98537059431794
CA A Cancer Journal for Clinicians,0.9361551030869447,0.14665598814205627,5.647058823529411,3695.4262498938974,138.23775995246584,214.62143812070286
New England Journal of Medicine,0.4076428605141684,0.017728325806523535,24.488721804511282,248.73285213696101,35.67627702550325,211.31674841056
Nature Biotechnology,0.5092174188415043,0.023443346540045935,8.972789115646256,68.92823685029568,17.585812102618828,197.54734115868573
Science,0.30034972858052644,0.005803453309042064,19.527559055118115,78.16775545992174,25.486602175859137,193.96758103194315
American Journal of Psychiatry,0.5525339020664467,0.012927054478301014,2,43.325,27.558333333333337,192.28333333333336
Nature Medicine,0.6156822832900828,0.05419625933690813,27.2912087912088,160.21776928592,27.911215621887166,185.06150490221256
Nature Reviews Disease Primers,0.46626522806148807,0.18160707982232682,15.164502164502162,191.05904209263343,6.209426348435636,184.8736122178847
The Lancet Microbe,1,0.10577971646673937,13.85714285714286,34.276197395954426,17.650011625203444,177.41937340153453
The Journal of Antibiotics,0.30143802477782156,0.09461235216819973,10.285714285714288,13.14690476190476,0.6273809523809524,176.50416666666666
The Lancet,0.5706555436109154,0.006049379593766119,9.247619047619045,261.97656383061053,32.22071870982004,171.04955346954029
Sports Medicine,0.5402028958571938,0.03231597845601436,5.142857142857144,51.911388888888894,7.46875,169.77055555555555
The Lancet Public Health,1,0.01971429316049218,2.967032967032967,50.30897435897436,21.005128205128205,166.58589743589744
The BMJ,0.39396267534363133,0.004777195257327202,14.538461538461535,44.81896758342806,13.108053786200243,159.32856806284457
Cell,0.880045596126453,0.040546781195160246,20.904761904761898,154.35723534433973,13.466808736963085,156.80250897849467
Science Immunology,0.6044658938258487,0.07474631164575879,10.38392857142857,58.9730225503663,10.639561046592299,155.85642439158062
The Lancet Diabetes & Endocrinology,0.4539795822655631,0.4773210489014882,96.21428571428571,56.866474033769194,6.558656259687898,152.24242933215194
Radiology Artificial Intelligence,0.9028132992327367,0.05514705882352941,3.214285714285714,27.204901960784316,1.9068627450980395,146.67843137254903
EPMA Journal,0.9098901098901099,0.10025561739847454,3.485714285714284,20.011791383219954,0,144.55351473922903
Environmental Science and Technology,0.3227963274760734,0.03130861040068202,52.46428571428572,30.33883534595624,4.982154967528607,141.15664146495197
Cell Metabolism,0.8711107877713723,0.046620046620046623,9.523809523809522,68.88404163992934,8.34679101487578,135.2260870160171
New Microbes and New Infections,1,0.10628019323671498,15.714285714285714,8.325363756613756,0.4407738095238095,134.82189153439154
Nature Methods,0.7035624944023372,0.010123239436619719,3.2857142857142856,66.75,4.6375,133.3125
JAMA,0.2733079441434364,0.007127729955814641,11.882783882783892,68.47773151788164,33.76205139641804,128.21186163489375
Nature Climate Change,0.49544449684413344,0.09883720930232556,29.142857142857142,73.5347185129538,27.37670924317983,125.88802398390635
Nature Reviews Nephrology,0.4428631958196985,0.04654760286232477,5.4212454212454215,79.57076719576719,0.2831298331298331,122.33786121286124
Journal of Respiration,1,0.21603487886382625,2.142857142857143,5.059523809523809,0.8928571428571428,121.33630952380952
JAMA Oncology,0.4601300084691471,0.05652742335029381,24.281512605042,82.94368136022345,11.159099922988903,115.80498504147657
Anaesthesia,0.7047128607140313,0.009776879021616116,2.507936507936508,31.26759259259259,1.6210648148148146,115.43518518518516
Journal of Translational Autoimmunity,1,0.24686192468619245,8.428571428571429,12.055333555333554,0.36605061605061606,114.03513153513154
Intensive Care Medicine,0.661560410120878,0.04069478966342934,14.411764705882348,39.12495856396785,0.392764442300046,111.45388739227751
MMWR Recommendations and Reports,0.9666666666666667,0.4054054054054054,2.142857142857143,81.41111111111111,10.63888888888889,110.95
Clinical Immunology Communications,1,0.2875,3.2857142857142856,0.7374999999999999,0,106.125
JAMA Internal Medicine,0.42511679483691905,0.011024829834148217,5.4761904761904745,72.5372312187127,17.697969109080223,105.83553702812962
Communications Earth & Environment,1,0.11507191994996875,26.28571428571428,24.01590379317652,14.615335169880625,103.75441830896376
Nature Ecology & Evolution,0.608813249694541,0.007945205479452053,2.071428571428571,59.713690476190486,15.413095238095236,102.86785714285715
International Journal of Transgender Health,0.7555544947395558,0.13157894736842105,7.142857142857143,42.2540404040404,17.003535353535355,102.16700336700336
Nature Genetics,0.6947173884887924,0.0713026224943785,18.368663594470046,87.80501219210898,14.569024523863233,98.18956849602012
Immunity,0.8216589873264751,0.043571618039703136,10.047619047619046,65.08069970953328,3.9952940074682126,97.75165626621185
The Linacre Quarterly,0.8395095885781869,0.04793028322440086,3.142857142857143,3.9642857142857144,1.9142857142857144,95.69285714285715
Burns,0.1939841398047999,0.0227765726681128,6,8.549368686868688,1.861111111111111,94.43623737373737
Harm Reduction Journal,1,0.07067137809187281,8.571428571428571,14.536519607843138,3.8938948306595367,93.4213612368024
Annals of Internal Medicine,0.1518866692004254,0.010836203693721768,7.791666666666667,35.423509754779104,16.317956080458497,90.6791194822227
Transgender Health,0.6919509127789046,0.25747126436781614,16,10.925916444666445,2.6972971472971468,89.90192446442448
Nature Cancer,0.5252509891757265,0.20739797265873378,23.831501831501836,46.3467870323074,3.890957937654771,89.74709355668631
Clinical Psychopharmacology and Neuroscience,1,0.029213483146067414,1.8571428571428572,5.96875,0.15625,89.3125
Nature Nanotechnology,0.5373847853934482,0.017472335468841003,4.285714285714286,142.82074074074075,7.242962962962963,87.92592592592591
Nature Reviews Clinical Oncology,0.34707703927891387,0.10386965376782076,14.571428571428577,118.17722368717601,5.0717130590167105,87.80459675134422
Science Translational Medicine,0.5296712596502801,0.11790850981447416,43.302197802197824,43.14290810189091,13.949517171003066,87.38523129987713
The Lancet Respiratory Medicine,0.5801805419259924,0.06875607385811466,20.21428571428572,117.71630519945003,7.072841251636269,86.86509124697045
American Journal of Public Health,0.7987578950984512,0.012807886793798864,6.615384615384617,16.92583122006199,7.247974781628628,85.33056142575373
Travel Medicine and Infectious Disease,0.6477082286897439,0.2125567322239032,40.14285714285715,13.267189391019604,0.474877124785213,85.22907324710468
The Lancet Child & Adolescent Health,0.3725051451411172,0.06527590847913864,13.85714285714286,46.636951042378676,5.187692241968558,82.4213872750057
JAMA Pediatrics,0.49722391689586837,0.02297558217651145,8.738095238095237,33.055633949383946,16.298385642135642,81.99570568320568
Nature Reviews Genetics,0.3875260532510247,0.040353089533417395,4.57142857142857,149.7576923076923,9.388461538461538,81.83846153846154
Nature Biomedical Engineering,0.5884442414487732,0.0572289156626506,8.142857142857144,85.7422982892652,7.242044835611013,81.49874263468013
Nature Microbiology,0.674928101228216,0.12307692307692308,29.714285714285715,100.59351792943899,7.574381723539619,81.22509147869674
The Lancet Oncology,0.30139480106503785,0.03299878828666207,16.60073260073261,168.28128741830395,11.078951647948744,81.05973167918324
Cancer Cell,0.8435584394384599,0.1703003679002342,30.635394456289976,101.58824874621597,7.671703986076407,80.69584360118944
Nature Reviews Gastroenterology & Hepatology,0.35866529786165324,0.11187438665358192,16.28571428571428,146.02607578030918,1.900219612576592,80.18352263043337
Nature Reviews Immunology,0.44321491678689917,0.032912533814247066,5.2142857142857135,57.57994791666667,1.3903645833333333,80.06640625
JACC Heart Failure,0.6060953478922828,0.025315862807909466,5.301242236024845,36.52047101449275,3.3550120772946856,78.07324879227053
Nature Reviews Drug Discovery,0.2526813853799953,0.0528580208973571,12.285714285714288,97.16740973398582,2.9534161490683233,75.25514657444005
Cochrane Database of Systematic Reviews,0.8681971685006018,0.03465818598187653,26.38775510204082,29.309329406997236,4.603981819783318,74.8054605566338
Adaptive Human Behavior and Physiology,0.4628860028860029,0.17361111111111113,3.571428571428572,5.513636363636364,1.2045454545454546,73.91818181818182
Nature Reviews Earth & Environment,0.3917205799605843,0.05081967213114754,4.42857142857143,80.23359788359788,12.505820105820106,72.24814814814815
Brain Hemorrhages,1,0.10144927536231885,3,1.3218253968253966,0.05357142857142857,71.74126984126984
MEDICC Review,0.900562016409011,0.10526315789473684,3.428571428571428,4.561111111111111,0.23888888888888887,71.70925925925926
The Lancet Rheumatology,0.4419834570701638,0.06395348837209303,9.428571428571429,33.4249037999038,1.6257816257816258,70.58315295815295
Endocrine Reviews,0.9484259769974054,0.2716262975778547,11.214285714285714,64.69701012495129,1.5161719816131582,70.14447831580185
Journal of Hospital Medicine,0.46931432360782044,0.011933174224343675,2.1428571428571423,7.410526315789473,1.1157894736842107,68.40526315789472
Clinical Journal of the American Society of Nephrology,0.8900349487539352,0.02644041797164004,7.0840336134453805,27.312561947856064,1.7998060762766646,67.91118293471236
The Lancet Infectious Diseases,0.5661827069058631,0.10292553191489362,55.2857142857143,52.08128954783282,8.393539975863268,66.88540988365044
Nature Materials,0.5185861468579439,0.00816326530612245,1.714285714285714,51.83333333333333,6.007575757575757,66.81818181818181
NEJM Evidence,0.19999473129610118,0.08043321819228556,4.5285714285714285,22.518421052631577,9.464114832535886,66.63499999999999
Nature Reviews Cancer,0.4190525021258657,0.08179782219441689,8.729591836734693,115.06280460460046,1.355614118688228,66.44140080013196
European Journal of Clinical Nutrition,0.4433336334207272,0.03107734806629833,6.428571428571427,13.401661595979778,1.0367303151394058,66.3411592195683
Nature Neuroscience,0.6566121221556165,0.054328358208955214,13,66.96755625327054,6.987859759288329,65.98097854526426
Nature Metabolism,0.5447569080927401,0.04680214989124497,6.819047619047619,34.74735523735524,9.805642135642135,64.81970381470383
Thrombosis Journal,1,0.1460905349794239,10.14285714285714,12.4987477459427,0.17391304347826086,64.27805049088359
JAMA Neurology,0.5329152939825382,0.08411214953271026,23.142857142857146,41.5173114015098,12.856624293727132,64.00312531271784
Mutation Research/Reviews in Mutation Research,0.40875427093914496,0.15168539325842698,3.857142857142857,14.428571428571429,4.448979591836735,63.17006802721088
Science Advances,1,0.018397204051160698,31.847019122609673,55.83208581362543,14.676984435988471,60.85279404037293
JAMA Network Open,1,0.02230844180264705,36.50892857142857,32.041272133233825,12.130903807893933,60.67571630679855
Acta Paediatrica,0.5623994558651007,0.04021110835506105,17.554761904761904,7.83656435402588,0.6514549650656496,60.574700439469105
The Lancet Neurology,0.4361184835329315,0.059244126659857003,16.571428571428577,132.112671559852,9.716520467836258,59.67129430719657
Nature Geoscience,0.5520224592739835,0.10684931506849316,22.28571428571428,66.72090927182839,16.453343388637506,59.586358304005365
Addiction,0.7691727340258251,0.15312916111850863,49.28571428571429,17.796161705924774,4.588753230084709,59.47219997799753
Nature Reviews Rheumatology,0.36525695444414724,0.09053497942386833,15.714285714285715,49.72290966609148,0.6386870705052524,58.88605031332304
Cell Research,0.9729350506988216,0.039230717214757044,5.560975609756097,64.65125118783656,2.0063826417484956,58.189040228064606
Clinical Microbiology Reviews,0.9316666666666666,0.24789915966386555,8.428571428571429,103.03968253968254,1.2513227513227512,57.55026455026455
The journal of nutrition health & aging,0.8792990427038997,0.013001083423618635,1.714285714285714,87.91071428571429,1.0357142857142858,57.05357142857143
Microbiology & Infectious Diseases,0.9708333333333333,0.12048192771084337,2.857142857142857,0.7124999999999999,0.0625,57
Radiology Cardiothoracic Imaging,0.9008855154965213,0.0946969696969697,7.142857142857142,17.513440941987653,2.152516889108585,56.527711763438404
PLOS Biology,1,0.029174962920573755,11.35459183673469,29.467818673288324,4.934508449134271,55.74052092543472
Dermatitis,0.08828257027197307,0.02244039270687237,2.285714285714285,4.155555555555555,0.26666666666666666,55.51111111111111
The Lancet Digital Health,1,0.036009520087537814,3.8069498069498064,53.503281853281855,6.926447876447877,55.15997425997427
Toxicology Reports,1,0.039115203634130374,6.344671201814058,12.533999155217643,0.36369547819127657,54.985395269218806
