"Source title";"CiteScore";"Highest percentile";"2020-23 Citations";"2020-23 Documents";"% Cited";"SNIP";"SJR";"Publisher"
"Vie et Milieu";0,8;"12.0%
404/461
Ecology";19;25;32;0,1;0,121;"Universite de Paris VI (Pierre et Marie Curie)"
"Nineteenth-Century French Studies";0,2;"48.0%
570/1106
Literature and Literary Theory";19;90;16;0,512;0,137;"University of Nebraska Press"
"Springer Series in Solid-State Sciences";0,3;"2.0%
422/434
Condensed Matter Physics";19;55;22;"N/A";"N/A";"Springer Nature"
"Vakuum in Forschung und Praxis";0,3;"8.0%
121/132
Surfaces, Coatings and Films";19;56;21;0,216;0,134;"John Wiley & Sons"
"Mathematische Semesterberichte";0,4;"6.0%
372/399
General Mathematics";19;43;33;0,309;0,163;"Springer Nature"
"Architektura a Urbanizmus";0,3;"34.0%
68/103
Conservation";19;63;19;0,229;0,124;"Slovak Academy of Sciences"
"Journal of Early Modern Studies";0,4;"76.0%
261/1106
Literature and Literary Theory";19;44;30;0,995;0,134;"Firenze University Press"
"Austrian Journal of Clinical Endocrinology and Metabolism";0,2;"5.0%
230/244
Endocrinology, Diabetes and Metabolism";19;81;16;0,072;0,123;"Krause und Pachernegg GmbH"
"Romanic Review";0,2;"18.0%
142/173
General Arts and Humanities";19;125;12;0,157;0,127;"Duke University Press"
"Convegno Nazionale di Bioingegneria";0;"0.0%
301/303
Biomedical Engineering";19;438;2;0,005;0,103;"Patron Editore S.r.l."
"Journal of Intellectual Property";0,4;"48.0%
415/806
Philosophy";19;47;23;0,355;0,116;"Illinois Institute of Technology"
"Active and Passive Electronic Components";1,3;"24.0%
606/797
Electrical and Electronic Engineering";19;15;40;0,221;0,184;"John Wiley & Sons"
"Archives de Sciences Sociales des Religions";0,2;"26.0%
474/644
Religious Studies";19;105;15;0,468;0,112;"Editions EHESS: Ecole des Hautes Etudes en Sciences Sociales"
"Journal of Electronic Publishing";0,7;"10.0%
354/394
Information Systems";19;26;46;0,559;0,198;"University of Michigan Press"
"Tocqueville Review";0,2;"37.0%
1100/1760
History";19;79;15;0,226;0,106;"University of Toronto Press"
"Alergia Astma Immunologia";0,3;"7.0%
144/155
Pulmonary and Respiratory Medicine";19;63;19;0,037;0,114;"University School of Medicine of Lodz"
"Contrastes";0,2;"20.0%
642/806
Philosophy";19;116;16;0,613;0,111;"Universidad de Malaga"
"Foreign Policy";0,2;"10.0%
630/706
Political Science and International Relations";19;87;9;"N/A";0,103;"Carnegie Endowment for International Peace"
"Netherlands Yearbook of International Law";0,5;"33.0%
676/1025
Law";19;38;18;"N/A";"N/A";"Cambridge University Press"
"Ramus";0,4;"76.0%
261/1106
Literature and Literary Theory";19;44;34;0,522;0,166;"Cambridge University Press"
"Geophysica";2,1;"47.0%
87/165
Geophysics";19;9;44;0,741;0,503;"Finish Environment Institute"
"Comprehensive Series in Photochemical and Photobiological Sciences";0,7;"8.0%
139/152
Biophysics";19;28;43;"N/A";"N/A";"Royal Society of Chemistry"
"Journal of Educational Media and Library Sciences";0,5;"46.0%
221/413
Archeology (arts and humanities)";19;42;24;0,093;0,109;"Tamkang University"
"Symbolae Osloenses";0,4;"65.0%
59/170
Classics";19;49;12;0,192;0,101;"Taylor & Francis"
"Studies in Russian and Soviet Cinema";0,4;"61.0%
257/667
Visual Arts and Performing Arts";19;49;22;0,552;0,161;"Taylor & Francis"
"Studies in Australasian Cinema";0,5;"68.0%
210/667
Visual Arts and Performing Arts";19;40;35;0,239;0,187;"Taylor & Francis"
"Word and Image";0,2;"41.0%
644/1106
Literature and Literary Theory";19;107;14;"N/A";0,103;"Taylor & Francis"
"SEI Technical Review";0,3;"6.0%
747/797
Electrical and Electronic Engineering";19;74;12;0,021;0,13;"Sumitomo Electric Industries Ltd."
"Avances en Odontoestomatologia";0,2;"9.0%
112/123
Otorhinolaryngology";19;102;14;0,059;0,111;"Ediciones Avances S.L."
"Indo-Iranian Journal";0,5;"57.0%
345/806
Philosophy";19;36;36;2,177;0,139;"Brill"
"Historical Materialism Book Series";0,1;"11.0%
1549/1760
History";19;246;4;0;0,101;"Brill"
"Social, Economic and Political Studies of the Middle East and Asia";0,7;"74.0%
163/644
Religious Studies";19;28;36;0;0,133;"Brill"
