"Source title";"CiteScore";"Highest percentile";"2020-23 Citations";"2020-23 Documents";"% Cited";"SNIP";"SJR";"Publisher"
"Essays in Biochemistry";10,5;"87.0%
55/438
Biochemistry";3400;325;92;1,191;1,841;"Portland Press Ltd"
"International Journal of Power Electronics and Drive Systems";3,5;"56.0%
120/272
Energy Engineering and Power Technology";3401;969;74;0,647;0,295;"Institute of Advanced Engineering and Science (IAES)"
"International Journal for Numerical and Analytical Methods in Geomechanics";6,4;"85.0%
13/89
Computational Mechanics";3405;536;78;1,326;1,132;"John Wiley & Sons"
"Indian Journal of Medical Research";5,8;"87.0%
78/636
General Medicine";3405;590;62;0,732;0,586;"Scientific Scholar"
"Research in Astronomy and Astrophysics";3,2;"52.0%
43/90
Astronomy and Astrophysics";3406;1065;67;0,672;0,641;"Institute of Physics Publishing"
"International Journal of Digital Earth";6,5;"84.0%
30/195
General Earth and Planetary Sciences";3408;522;72;1,235;0,95;"Taylor & Francis"
"Composites Part C: Open Access";8,6;"88.0%
78/672
Mechanical Engineering";3410;397;85;1,7;1,031;"Elsevier"
"ACM Transactions on Intelligent Systems and Technology";9,3;"90.0%
13/130
Theoretical Computer Science";3411;368;75;1,992;1,882;
"Mini-Reviews in Medicinal Chemistry";7,8;"76.0%
74/313
Pharmacology";3411;435;86;0,966;0,597;"Bentham Science Publishers"
"Experimental Physiology";5,1;"58.0%
58/140
Nutrition and Dietetics";3412;668;82;0,787;0,773;"John Wiley & Sons"
"Current Opinion in Psychiatry";12,2;"94.0%
30/567
Psychiatry and Mental Health";3414;279;87;1,994;2,333;"Wolters Kluwer Health"
"Analytical Letters";4,1;"57.0%
31/72
Biochemistry (medical)";3415;828;76;0,546;0,351;"Taylor & Francis"
"Magnetic Resonance Imaging";4,7;"67.0%
109/333
Radiology, Nuclear Medicine and Imaging";3415;725;75;0,768;0,647;"Elsevier"
"Engineering, Technology and Applied Science Research";3;"61.0%
120/307
General Engineering";3415;1152;70;1,054;0,373;"Dr D. Pylarinos"
"International Journal of Circuit Theory and Applications";3,6;"72.0%
173/635
Applied Mathematics";3416;943;71;0,758;0,38;"John Wiley & Sons"
"Midwifery";4,5;"94.0%
3/43
Maternity and Midwifery";3417;765;75;1,13;0,906;"Elsevier"
"Applied Animal Behaviour Science";4,4;"82.0%
85/490
Animal Science and Zoology";3418;785;78;0,92;0,608;"Elsevier"
"Early Childhood Research Quarterly";7;"94.0%
84/1466
Sociology and Political Science";3418;491;81;2,07;1,569;"Elsevier"
"Comprehensive Psychiatry";12,5;"97.0%
9/311
Clinical Psychology";3418;274;80;1,599;1,831;"Elsevier"
"Angiogenesis";21,9;"99.0%
1/117
Clinical Biochemistry";3419;156;96;1,698;3,289;"Springer Nature"
"European Journal of Marketing";6,9;"71.0%
61/210
Marketing";3420;494;81;1,246;1,266;"Emerald Publishing"
"Journal of Asthma";4;"72.0%
90/330
Pediatrics, Perinatology and Child Health";3420;857;79;0,755;0,609;"Taylor & Francis"
"Journal of Semiconductors";6,7;"80.0%
84/434
Condensed Matter Physics";3421;512;83;0,799;0,856;"IOS Press"
"Big Data and Society";10,9;"97.0%
15/511
Communication";3422;314;75;3,093;2,448;"SAGE"
